200-OK,成功
QoS,服务质量
RBAC,基于角色
RDB,RDB快照
REST,表述性状态转移
RIGHT-JOIN,右连接
RPC,远程过程调用
RPS,每秒请求数
RSA,RSA算法
RabbitMQ,RabbitMQ
Raft,Raft算法
Redis,Redis
Redlock,Redlock算法
ReplicaSet,副本集
SAGA,Saga模式
SAML,SAML
SELECT,查询
SETNX,不存在则设置
SHA,SHA哈希
SLA,服务级别协议
SLI,服务级别指标
SLO,服务级别目标
SOLID,SOLID原则
SQL-injection,SQL注入
SRP,单一职责
SSL,安全套接层
SSL/TLS,安全套接层
SSO,单点登录
SSTable,有序字符串表
STW,停顿世界
Secret,密钥
Serial-GC,串行GC
Shenandoah,Shenandoah收集器
SonarQube,SonarQube
StatefulSet,有状态集
StorageClass,存储类
Survivor,幸存者
TCP,传输控制协议
TDD,测试驱动开发
TERMINATED,终止
TIMED_WAITING,超时等待
TLS,传输层安全
TPS,每秒事务数
TTL,生存时间
Thrift,Thrift
Travis-CI,Travis CI
UDP,用户数据报协议
UPDATE,更新
WAF,Web应用防火墙
WAITING,等待
WAR,WAR包
WATCH,监视
WHERE,条件
WORKDIR,工作目录
XML,XML
Xmn,年轻代
Xms,初始堆
Xmx,最大堆
Xss,栈大小
YAGNI,不需要就别做
ZGC,ZGC收集器
Zookeeper,Zookeeper
abstract,抽象
abstraction,抽象
accept,接受
acceptance-criteria,验收标准
acceptance-test,验收测试
access-control,访问控制
acknowledgment,确认
acquire,获取
active-active,双活
active-passive,主备
active-profile,激活配置
actuator,执行器
adapter,适配器
advantage,优势
after-that,之后
agent,代理
aggregate,聚合
aggregation,聚合
agile,敏捷
algorithm,算法
all-in-all,总的来说
allocation,分配
alternate-exchange,备用交换机
alternatively,或者
ambiguous,模糊的
amortized,摊还
analyze,分析
ancestor,祖先节点
annotation,注解
anti-corruption,防腐层
anti-entropy,反熵
application-loader,应用类加载器
approach,方法
architecture,架构
archive,归档
args,参数
argument,实参
around,环绕
arrange-act-assert,准备执行断言
array,数组
artifact,构建产物
as-an-illustration,作为例证
aspect-oriented,面向切面
assembly,组装
assert,断言
assertion,断言
assertion-error,断言错误
assertion-library,断言库
assumption,假设
asymmetric,非对称
asymptotic,渐进
asynchronous,异步的
at-a-high-level,概括地说
at-least-once,至少一次
at-most-once,至多一次
at-the-end-of-the-day,归根结底
at-the-same-time,同时
atomic,原子的
atomic-array,原子数组
atomic-operation,原子操作
atomic-reference,原子引用
atomic-variable,原子变量
atomicity,原子性
attack-surface,攻击面
authentication,认证
authorization,授权
auto-commit,自动提交
auto-configuration,自动配置
auto-delete,自动删除
auto-scaling,自动扩展
autoboxing,自动装箱
autowire,自动装配
availability,可用性
available,可用的
average,平均值
average-case,平均情况
await,等待
backdoor,后门
backlog,待办事项
backoff,退避
backpressure,背压
backtracking,回溯
backup,备份
backward-compatibility,向后兼容
baggage,行李
balanced-tree,平衡树
bandwidth,带宽
banner,横幅layered,分层
barrier,屏障
base-image,基础镜像
base-package,基础包
based-on-my-understanding,基于我的理解
basic-auth,基本认证
basically,基本上
basically-available,基本可用
batch,批处理
batching,批处理
bearer,持有者
bearer-token,持有者令牌
benchmark,基准测试
benchmarking,基准测试
benefit,好处
best-case,最好情况
big-O,大O记号
big-key,大键
big-picture,全局
binary-search,二分查找
binary-tree,二叉树
bind-mount,绑定挂载
binding,绑定
binlog,二进制日志
biometric,生物识别
bit-manipulation,位操作
bitmap,位图
blackboard,黑板
blacklist,黑名单
block-storage,块存储
blocker,阻塞
blocking,阻塞的
bloom-filter,布隆过滤器
blue-green,蓝绿部署
body,主体
boolean,布尔
bootloader,引导程序
bootstrap-loader,引导类加载器
bottleneck,瓶颈
bottom-up,自下而上
boundary-value,边界值
bounded-context,限界上下文
branch-coverage,分支覆盖率
branching-strategy,分支策略
breadth-first,广度优先
break-down,分解
breaking-change,破坏性变更
bridge,桥接
broadcast,广播
broken,损坏
broker,代理
brute-force,暴力
bucket,桶
buffer,缓冲区
buffer-overflow,缓冲区溢出
buffer-pool,缓冲池
bug-bounty,漏洞赏金
build,构建
build-failure,构建失败
bulk,批量
bulkhead,舱壁
bundling,打包
burndown,燃尽图
business,业务层
byte,字节
bytecode,字节码
cache,缓存
cache-aside,旁路缓存
cache-avalanche,缓存雪崩
cache-breakdown,缓存击穿
cache-hierarchy,缓存层次
cache-hit,缓存命中
cache-miss,缓存未命中
cache-penetration,缓存穿透
cache-stampede,缓存击穿
cache-warming,缓存预热
caching,缓存
callable,可调用
callback,回调
canary-deployment,金丝雀部署
canary-test,金丝雀测试
capacity,产能
capacity-planning,容量规划
cardinality,基数
cascade,级联
casting,类型转换
causal-consistency,因果一致性
central,中央仓库
centralized,集中式的
certificate,证书
chaining,链地址法
change-data-capture,变更数据捕获
changelog,变更日志
char,字符
charset,字符集
checkout,检出
checkpoint,检查点
cherry-pick,精选
child,子节点
choreography,协同
chunk,数据块
circuit-breaker,熔断器
claim,声明
clarification,澄清
clarify,澄清
clarify-the-scope,明确范围
class,类
classloader,类加载器
classpath,类路径
clean,清理
clean-architecture,整洁架构
clean-code,整洁代码
clear,清楚
client-server,客户端服务器
closure,闭包
cluster,集群
code-cache,代码缓存
code-coverage,代码覆盖率
code-injection,代码注入
code-review,代码审查
code-smell,代码异味
coercion,强制转换
coherence,一致性
cohesion,内聚
cold-standby,冷备份
cold-start,冷启动
cold-storage,冷存储
collation,排序规则
collection,集合
collision,冲突
column,列
column-family,列族
combiner,合并器
command,命令
command-injection,命令注入
command-line,命令行
commit,提交
commit-log,提交日志
compaction,压缩
comparable,可比较
comparatively,相对地
comparator,比较器
compatibility-test,兼容性测试
compensating-transaction,补偿事务
compensation,补偿
compile,编译
completable-future,可完成Future
complexity,复杂度
compliance,合规
component,组件
component-scan,组件扫描
composability,可组合性
composite-index,组合索引
composition,组合
composition-over-inheritance,组合优于继承
compression,压缩
concrete-example,具体例子
concurrency,并发
concurrent,并发的
concurrent-mark,并发标记
concurrent-threads,并发线程数
condition,条件
conditional,条件
configuration,配置
configure,配置
congestion,拥塞
connection,连接
connection-pool,连接池
connection-reuse,连接复用
consensus,共识
consider,考虑
consistency,一致性
consistency-hash,一致性哈希
consistent,一致的
consistent-hashing,一致性哈希
constant,常量
constraint,约束
constructor,构造函数
consumer,消费者
consumer-driven,消费者驱动
consumer-group,消费者组
container,容器
content-type,内容类型
contention,争用
context-switch,上下文切换
continuous-delivery,持续交付
continuous-deployment,持续部署
continuous-integration,持续集成
continuous-testing,持续测试
contract,契约
contract-test,契约测试
contravariance,逆变
control-plane,控制平面
controller,控制器
convention,约定
convention-over-configuration,约定优于配置
conversion,转换
cookie,Cookie
cooperative,协作式
coordinator,协调器
copying,复制
corner-case,极端情况
correlation-id,关联ID
corruption,损坏
countdown,倒计数
coupling,耦合
covariance,协变
covering-index,覆盖索引
credential,凭证
criteria,条件
critical-section,临界区
cubic,立方
currying,柯里化
daemon,守护线程
data-access,数据访问层
data-breach,数据泄露
data-locality,数据本地性
data-ownership,数据所有权
data-race,数据竞争
data-replication,数据复制
database,数据库
database-per-service,每服务一库
datagram,数据报
dead-letter,死信
deadline,截止日期
deadlock,死锁
deallocation,释放
debouncing,防抖
debug,调试
decentralized,去中心化的
declarative,声明式
declare-parents,声明父类
decrypt,解密
decryption,解密
deduplication,去重
default,默认
defense-in-depth,纵深防御
defensive-programming,防御式编程
definition-of-done,完成定义
defragment,碎片整理
degradation,降级
degree,度
delay,延迟
delayed-delete,延迟删除
delegate,委托
deliverable,交付物
denormalization,反规范化
denormalized,反规范化
dependency,依赖
dependency-injection,依赖注入
dependency-management,依赖管理
deploy,部署
deployment,部署
deprecation,弃用
depth,深度
depth-first,深度优先
deque,双端队列
descendant,后代节点
deserialize,反序列化
destructor,析构函数
destructuring,解构
detached,分离
deterministic,确定的
devtools,开发工具
digest-auth,摘要认证
direct-exchange,直连交换机
directory,目录
dirty-check,脏检查
dirty-read,脏读
disadvantage,劣势
disaster-recovery,灾难恢复
disclosure,披露
disk-I/O,磁盘I/O
distributed,分布式的
distributed-cache,分布式缓存
distributed-lock,分布式锁
distributed-storage,分布式存储
dive-into,深入
divide-conquer,分治
docker-compose,Docker Compose
document,文档
documentation,文档
domain,领域
domain-driven,领域驱动
double,双精度
double-checked-locking,双重检查锁
double-delete,双删
downside,不利方面
downtime,停机时间
drawback,缺点
drill-down,深入探讨
driver,驱动器
dual-write,双写
duck-typing,鸭子类型
dummy,哑元
duplication,重复
durability,持久性
durable,持久化
dynamic,动态的
dynamic-content,动态内容
dynamic-programming,动态规划
eager,饿加载的
eager-evaluation,饿汉求值
eager-loading,饿加载
ecosystem,生态系统
edge,边
edge-caching,边缘缓存
edge-case,边界情况
efficient,高效
elasticity,弹性
embedded,嵌入
embedded-server,内嵌服务器
encapsulation,封装
encoding,编码
encrypt,加密
encryption,加密
end-to-end,端到端测试
endpoint,端点
entity,实体
entrypoint,入口点
enum,枚举
env,环境
environment,环境
environment-variable,环境变量
epic,史诗
equivalence-partitioning,等价类划分
erasure-coding,纠删码
error-rate,错误率
essentially,本质上
estimation,估算
event-driven,事件驱动
event-sourcing,事件溯源
event-store,事件存储
eventual-consistency,最终一致性
eventually,最终
eventually-consistent,最终一致
eviction,驱逐
exactly,正是
exactly-once,恰好一次
exchange,交换机
exchanger,交换器
exclusion,排除
exclusive,独占
exclusive-lock,独占锁
exec,执行
execute,执行
execution,执行
execution-plan,执行计划
executor,执行器
expiration,过期
explain,解释
exploit,利用
exploratory-test,探索性测试
exponential,指数
exponential-backoff,指数退避
expose,暴露
extends,继承
extension-loader,扩展类加载器
externalized-configuration,外部化配置
factorial,阶乘
fail-fast,快速失败
failback,故障恢复
failing,失败
failover,故障转移
fair-lock,公平锁
fake,伪造
fallback,降级
fanout-exchange,扇出交换机
fault-tolerance,容错
fault-tolerant,容错的
feature-branch,功能分支
feature-flag,特性开关
federation,联邦
fence,栅栏
fetch,抓取
field,字段
field-updater,字段更新器
file-storage,文件存储
file-system,文件系统
filter,过滤器
filtering,过滤
final,最终
final-field,Final字段
finalization,终结
finalize,终结方法
finally,最终
find,查找
fire-and-forget,即发即弃
firewall,防火墙
first-class,一等公民
first-level,一级
first-of-all,首先
fixture,测试夹具
flaky,不稳定
float,浮点
flow-control,流量控制
flush,刷新
follow,理解
follower,跟随者
following-that,接着
footprint,内存占用
for-example,例如
for-instance,例如
foreign-key,外键
forensics,取证
fork-join,分叉合并
format,格式化
formatter,格式化工具
fragmentation,碎片
frame,帧
framework,框架
freshness,新鲜度
from-my-experience,根据我的经验
from-my-perspective,从我的角度
full-GC,完全GC
full-table-scan,全表扫描
functional,函数式
fundamentally,从根本上
future,Future
fuzz-test,模糊测试
gRPC,gRPC
garbage,垃圾
garbage-collection,垃圾回收
gateway,网关
generational,分代
generic,泛型
geo-redundancy,地理冗余
geospatial,地理空间
git-flow,Git流程
give-me-a-moment,给我一会儿
given-when-then,给定当则
goal,目标
going-forward,未来
good-catch,发现得好
good-question,好问题
gossip-protocol,Gossip协议
got-it,明白了
graceful-degradation,优雅降级
graph,图
greedy,贪心
handoff,交接
handshake,握手
happens-before,先行发生
happy-path,正常路径
hardening,加固
hash,哈希
hash-based,基于哈希
hash-table,哈希表
hashing,哈希
header,头部
headers-exchange,头部交换机
health,健康检查
health-check,健康检查
heap,堆
heap-dump,堆转储
heap-size,堆大小
heartbeat,心跳
height,高度
heuristic,启发式
hexagonal,六边形
high-availability,高可用
high-cohesion,高内聚
high-level,高层次
higher-order,高阶
hinted-handoff,暗示移交
histogram,直方图
hit-rate,命中率
horizontal-scaling,水平扩展
host,主机
hot-reload,热重载
hot-standby,热备份
hotfix,热修复
hotkey,热点键
hotspot,热点
hyperloglog,HyperLogLog
idempotency,幂等性
idempotent,幂等的
identity,身份
if-I-understand-correctly,如果我理解正确
image,镜像
imagine,想象
immediate,立即
immutability,不可变性
immutable,不可变的
imperative,命令式
implement,实现
implementation,实现
implements,实现
import,导入
in-conclusion,总之
in-contrast,相比之下
in-memory,内存
in-my-opinion,在我看来
in-other-words,换句话说
in-summary,总之
in-terms-of,就...而言
in-the-meantime,与此同时
inbox-pattern,收件箱模式
incident-response,事件响应
inconsistent,不一致的
increment,增量
incremental,增量的
index,索引
index-scan,索引扫描
indexing,索引
inefficient,低效
infrastructure,基础设施
inheritable,可继承
inheritance,继承
initialize,初始化
initially,最初
inject,注入
inode,索引节点
inspect,检查
install,安装
instance,实例
instantiate,实例化
instruction,指令
instrumentation,埋点
integer,整数
integration-test,集成测试
interceptor,拦截器
interesting-point,有趣的观点
interface,接口
intermittent,间歇性
interrupt,中断
interrupted,中断状态
intrinsic-lock,内置锁
introduction,引入
introspection,内省
intrusion-detection,入侵检测
invalidation,失效
invariance,不变
inversion-of-control,控制反转
invoke,调用
isolation,隔离性
isolation-level,隔离级别
it-seems-to-me,在我看来
iteration,迭代
iterative,迭代的
iterator,迭代器
jitter,抖动
just-to-confirm,确认一下
kanban,看板
keep-alive,保持连接
keepalive,保活
kernel,内核
key-value,键值
knowledge-transfer,知识转移
kubectl,kubectl
label,标签
lambda,Lambda表达式
latch,闩锁
latency,延迟
law-of-Demeter,迪米特法则
layer,层
lazy,懒加载的
lazy-evaluation,惰性求值
lazy-initialization,懒初始化
lazy-loading,懒加载
leader,领导者
leaf,叶子节点
leak,泄漏
least-connections,最少连接
least-privilege,最小权限
lessons-learned,经验教训
let's-say,假设
let-me-think,让我想想
level,层级
lifecycle,生命周期
like,像
limit-range,限制范围
line-coverage,行覆盖率
linear,线性
linearizability,线性一致性
linked-list,链表
lint,代码检查
linter,检查工具
list,列表
listener,监听器
literal,字面量
livelock,活锁
liveness-probe,存活探针
load-balancer,负载均衡器
load-balancing,负载均衡
load-factor,负载因子
load-shedding,负载削减
load-test,负载测试
local-cache,本地缓存
lock,锁
lock-free,无锁
lockInterruptibly,可中断锁
log-segment,日志段
logarithmic,对数
logs,日志
long,长整型
loose-coupling,松耦合
lower-bound,下界
maintainability,可维护性
maintainable,可维护的
major-GC,大GC
make-sense,有道理
malware,恶意软件
man-in-the-middle,中间人攻击
mandatory,强制
manifest,清单
manual-commit,手动提交
map,映射
mapper,映射器
mapping,映射
mappings,映射
mark-compact,标记整理
mark-sweep,标记清除
master,主库
matcher,匹配器
materialized-view,物化视图
maxmemory,最大内存
meanwhile,同时
median,中位数
memoization,记忆化
memory-barrier,内存屏障
memory-management,内存管理
memory-mapping,内存映射
memory-usage,内存使用
memtable,内存表
merge,合并
merge-request,合并请求
merkle-tree,默克尔树
message-queue,消息队列
meta-programming,元编程
metaspace,元空间
method,方法
methodology,方法论
metrics,指标
micro-batch,微批处理
microservice,微服务
migrate,迁移
migration-guide,迁移指南
milestone,里程碑
minification,最小化
minimum-spanning-tree,最小生成树
minor-GC,小GC
miss-rate,未命中率
mitigation,缓解
mob-programming,群组编程
mock,模拟
mocking-framework,模拟框架
modular,模块化的
module,模块
monitor,监控
monolith,单体
monolithic,单体的
mount,挂载
moving-forward,继续前进
multi-level,多级
multi-module,多模块
multi-region,多区域
multi-stage,多阶段
multifactor,多因素
multiplexing,多路复用
multiprocessing,多进程
multithreading,多线程
mutable,可变的
mutation-coverage,变异覆盖率
mutation-test,变异测试
mutex,互斥锁
mutual-exclusion,互斥
n-tier,N层
named-query,命名查询
namespace,命名空间
native,本地
native-query,原生查询
negative-ack,负向确认
negative-test,负面测试
network,网络
network-bandwidth,网络带宽
next,接下来
node,节点
non-blocking,非阻塞的
non-deterministic,不确定的
non-reentrant,不可重入
non-repeatable-read,不可重复读
non-reproducible,不可重现
normalization,规范化
notify,通知
notifyAll,通知全部
null,空
null-cache,空值缓存
object,对象
object-oriented,面向对象
object-pooling,对象池
object-storage,对象存储
observability,可观测性
offset,偏移量
old-generation,老年代
on-the-other-hand,另一方面
onboarding,入职培训
onion-architecture,洋葱架构
optimal,最优
optimistic-lock,乐观锁
optimization,优化
optimize,优化
optional,可选
orchestration,编排
order,顺序
ordering,顺序
outbox-pattern,发件箱模式
overall,总体而言
overflow,溢出
overhead,开销
overlay,覆盖
overload,重载
override,重写
p50,50分位
p95,95分位
p99,99分位
p999,99.9分位
package,打包
packet,数据包
pact,契约
page-fault,缺页错误
pagination,分页
paging,分页
pair-programming,结对编程
paradigm,范式
parallel,并行的
parallel-processing,并行处理
parallel-threads,并行线程数
parallelism,并行
parameter,参数
parent,父节点
parent-POM,父POM
parent-delegation,双亲委派
park,停靠
parse,解析
partial-application,部分应用
partition,分区
partition-key,分区键
partition-tolerance,分区容错
partitioner,分区器
partitioning,分区
passing,通过
patching,补丁
path,路径
path-coverage,路径覆盖率
path-parameter,路径参数
path-traversal,路径遍历
pattern,模式
pattern-matching,模式匹配
pause-time,暂停时间
payload,有效载荷
peer,对等节点
peer-to-peer,对等
pending,待定
penetration-test,渗透测试
penetration-testing,渗透测试
percentile,百分位
performance,性能
performance-test,性能测试
permission,权限
permit,许可
persist,持久化
persistence,持久化
persistent,持久的
pessimistic-lock,悲观锁
phantom-read,幻读
phantom-reference,虚引用
phase,阶段
phaser,阶段器
phishing,钓鱼
pipe-filter,管道过滤器
pipeline,流水线
pipelining,流水线
placeholder,占位符
planning-poker,计划扑克
plugin,插件
pod,Pod
point-to-point,点对点
pointer,指针
poison-message,毒药消息
poll,轮询
polymorphism,多态
polynomial,多项式
pooling,池化
port,端口
port-mapping,端口映射
positive-ack,正向确认
positive-test,正面测试
post-mortem,事后分析
practice,实践
preemption,抢占
preemptive,抢占式
prefetch,预取
prefetching,预取
prefix-sum,前缀和
preloading,预加载
presentation,表示层
primary,首选
primary-key,主键
primitive,基本类型
principal,主体
principle,原则
priority,优先级
priority-inversion,优先级反转
priority-queue,优先队列
private,私有
private-key,私钥
privilege,特权
privilege-escalation,权限提升
probing,探测
procedural,过程式
proceed,继续执行
process,进程
producer,生产者
product-owner,产品负责人
profile,性能分析
profiling,性能分析
program-to-interface,面向接口编程
projection,投影
promise,Promise
property,属性
property-based,基于属性
pros-and-cons,优缺点
protected,受保护
protocol,协议
protocol-buffer,协议缓冲
prototype,原型
provided,已提供
proxy,代理
pruning,剪枝
pub-sub,发布订阅
public,公共
public-key,公钥
publish,发布
publisher-confirm,发布者确认
pull,拉取
pull-request,拉取请求
pure-function,纯函数
purge,清除
push,推送
quadratic,平方
qualifier,限定符
quarantined,隔离
query,查询
query-cache,查询缓存
query-parameter,查询参数
queue,队列
quorum,法定人数
race-condition,竞态条件
rack-awareness,机架感知
range-based,基于范围
ransomware,勒索软件
rate-limiting,速率限制
reachability,可达性
reactive,响应式
read-committed,读已提交
read-lock,读锁
read-model,读模型
read-repair,读修复
read-replica,只读副本
read-through,读穿
read-uncommitted,读未提交
read-write-lock,读写锁
readability,可读性
readiness-probe,就绪探针
rebalance,重平衡
rebalancing,重新平衡
rebase,变基
record,记录
recursion,递归
red-black-tree,红黑树
red-green-refactor,红绿重构
redo-log,重做日志
reducer,归约器
redundancy,冗余
reentrant,可重入
refactor,重构
refactoring,重构
reference,引用类型
reference-counting,引用计数
reflection,反射
refresh,刷新
refresh-token,刷新令牌
register,寄存器
registry,镜像仓库
regression-test,回归测试
rehashing,重哈希
relationship,关系
relatively,相对地
release,发布
release-branch,发布分支
release-notes,发布说明
reliability,可靠性
reliable,可靠的
remove,移除
reordering,重排序
repeatable-read,可重复读
rephrase,重新表述
replay-attack,重放攻击
replica,副本
replica-set,副本集
replication,复制
replication-factor,复制因子
repository,仓库
reproducible,可重现
request,请求
request-body,请求体
request-reply,请求响应
requeue,重新入队
requirement,需求
resharding,重分片
resilience,弹性
resilient,有韧性的
resource,资源
resource-pooling,资源池化
resource-quota,资源配额
response,响应
response-body,响应体
response-time,响应时间
rest-parameter,剩余参数
restart,重启
restore,恢复
retention,保留
retrospective,回顾会议
retry,重试
retry-rate,重试率
return,返回
rewrite,重写
risk,风险
robust,健壮的
rollback,回滚
rolling-update,滚动更新
root,根节点
root-cause-analysis,根因分析
rootkit,根工具包
round-robin,轮询
route,路由
routing,路由
routing-key,路由键
row,行
run,运行
runnable,可运行
runner,运行器
runtime,运行时
safe-publication,安全发布
salting,加盐
sampling,采样
sanitization,净化
sanitize,清理
sanity-test,健全性测试
saturation,饱和
savepoint,保存点
say,比方说
scalability,可扩展性
scalable,可扩展的
scale,扩展
scale-out,横向扩展
scale-up,纵向扩展
scheduled,定时
scheduler,调度器
scheduling,调度
schema,模式
scope,作用域
scope-creep,范围蔓延
scrum,Scrum
scrum-master,Scrum大师
searching,搜索
second-level,二级
security-audit,安全审计
security-by-design,安全设计
security-test,安全测试
see-what-I-mean,明白我的意思
segment,段
segment-tree,线段树
segmentation,分段
selectivity,选择性
selector,选择器
semantic-versioning,语义化版本
semaphore,信号量
sentinel,哨兵
separation-of-concerns,关注点分离
sequential,顺序的
serializability,可串行化
serializable,可串行化
serialize,序列化
serverless,无服务器
service,服务
service-discovery,服务发现
service-mesh,服务网格
service-registry,服务注册
session,会话
session-hijacking,会话劫持
session-window,会话窗口
set,集合
setup,设置
shade,遮蔽
shard,分片
sharding,分片
shared-database,共享数据库
shared-lock,共享锁
short,短整型
shortest-path,最短路径
shovel,铲子插件
shuffle,洗牌
sibling,兄弟节点
side-effect,副作用
sidecar,边车
signal,信号
signalAll,信号全部
signature,签名
single-source-of-truth,单一数据源
singleton,单例
skip-list,跳表
skipped,跳过
slave,从库
sleep,睡眠
sliding-window,滑动窗口
sloppy-quorum,宽松法定人数
slot,槽
slow-query,慢查询
smoke-test,冒烟测试
snapshot,快照
snapshot-test,快照测试
socket,套接字
soft-reference,软引用
soft-state,软状态
sort,排序
sorted-set,有序集合
sorting,排序
space-complexity,空间复杂度
span,跨度
speaking-of,说到
specification,规范
spinlock,自旋锁
split-brain,脑裂
spoofing,欺骗
spread-operator,展开运算符
sprint,冲刺
spy,间谍
squash,压缩
stable,稳定的
stack,栈
stack-confinement,栈限制
stage,阶段
stakeholder,利益相关者
stakeholder-meeting,干系人会议
staleness,过时性
standard,标准
standard-deviation,标准差
standup,站会
start,启动
starter,启动器
startup-probe,启动探针
starvation,饥饿
state,状态
state-store,状态存储
stateful,有状态的
stateless,无状态的
statelessness,无状态性
static,静态的
static-analysis,静态分析
static-content,静态内容
statistics,统计信息
status-code,状态码
status-update,状态更新
step-by-step,逐步
sticky-session,粘性会话
stop,停止
story-point,故事点
strategy,策略
stream,流
streaming,流式传输
stress-test,压力测试
string,字符串
strong-consistency,强一致性
strong-reference,强引用
strong-typing,强类型
stub,存根
suboptimal,次优
subscribe,订阅
subsequently,随后
success-rate,成功率
such-as,比如
suppose,假设
survivor-ratio,幸存区比例
swapping,交换
swarm,集群
symmetric,对称
synchronization,同步
synchronized,同步
synchronous,同步的
system-call,系统调用
system-test,系统测试
table,表
tag,标签
take-for-example,以...为例
target,目标对象
task,任务
teardown,清理
technical-debt,技术债务
telemetry,遥测
tell-dont-ask,告诉不要问
tenuring-threshold,晋升阈值
test,测试
test-automation,测试自动化
test-case,测试用例
test-coverage,测试覆盖率
test-data,测试数据
test-double,测试替身
test-environment,测试环境
test-failure,测试失败
test-first,测试优先
test-framework,测试框架
test-harness,测试工具
test-pyramid,测试金字塔
test-report,测试报告
test-runner,测试运行器
test-suite,测试套件
testability,可测试性
that's-correct,那是正确的
the-key-point,关键点
the-main-takeaway,主要收获
the-way-I-see-it,我认为
then,然后
thrashing,颠簸
thread,线程
thread-confinement,线程限制
thread-dump,线程转储
thread-local,线程本地
thread-pool,线程池
thread-safe,线程安全
thread-safety,线程安全性
thread-unsafe,线程不安全
threaddump,线程转储
threat,威胁
three-phase-commit,三阶段提交
three-tier,三层
throttling,节流
throughput,吞吐量
throws,抛出
tiered-cache,分层缓存
tiering,分层
tight-bound,紧界
time-complexity,时间复杂度
time-slice,时间片
time-to-live,生存时间
timeout,超时
timeout-rate,超时率
to-be-specific,具体来说
to-illustrate,举例说明
to-make-sure,确保
to-start-with,首先
to-summarize,总结一下
token,令牌
tombstone,墓碑标记
toolchain,工具链
top-down,自上而下
topic,主题
topic-exchange,主题交换机
topological-sort,拓扑排序
tracing,追踪
trade-off,权衡
transaction,事务
transform,转换
transient,瞬态的
transitive,传递
traversal,遍历
tree,树
trie,字典树
trigger,触发器
troubleshoot,排查故障
trunk-based,主干开发
tryLock,尝试锁
tumbling-window,滚动窗口
two-factor,两因素
two-phase-commit,两阶段提交
