English,中文
backup,备份
restore,恢复
MVC,MVC模式
layered,分层架构
hexagonal,六边形架构
clean-architecture,整洁架构
event-driven,事件驱动
CQRS,命令查询分离
serverless,无服务器
FaaS,函数即服务
SOLID,SOLID原则
SRP,单一职责原则
OCP,开闭原则
LSP,里氏替换原则
ISP,接口隔离原则
DIP,依赖倒置原则
DRY,不要重复
KISS,保持简单
YAGNI,不需要就别做
loose-coupling,松耦合
high-cohesion,高内聚
separation-of-concerns,关注点分离
composition-over-inheritance,组合优于继承
singleton-pattern,单例模式
factory-pattern,工厂模式
builder-pattern,建造者模式
observer-pattern,观察者模式
strategy-pattern,策略模式
decorator-pattern,装饰器模式
adapter-pattern,适配器模式
proxy-pattern,代理模式
template-method,模板方法
command-pattern,命令模式
performance,性能
optimization,优化
profiling,性能分析
benchmarking,基准测试
QPS,每秒查询数
TPS,每秒事务数
RPS,每秒请求数
response-time,响应时间
latency,延迟
throughput,吞吐量
percentile,百分位
p50,50分位
p95,95分位
p99,99分位
p999,99.9分位
SLA,服务级别协议
SLO,服务级别目标
SLI,服务级别指标
uptime,正常运行时间
downtime,停机时间
MTBF,平均无故障时间
MTTR,平均修复时间
connection-pool,连接池
thread-pool,线程池
object-pooling,对象池
batching,批处理
debouncing,防抖
indexing,索引
compression,压缩
minification,最小化
lazy-loading,懒加载
eager-loading,饿加载
prefetching,预取
pagination,分页
DevOps,DevOps
CI/CD,持续集成持续部署
continuous-integration,持续集成
continuous-delivery,持续交付
continuous-deployment,持续部署
Docker,Docker
container,容器
image,镜像
Dockerfile,Dockerfile
layer,层
registry,镜像仓库
volume,卷
network,网络
docker-compose,Docker Compose
Kubernetes,Kubernetes
K8s,K8s
pod,Pod
deployment,部署
ReplicaSet,副本集
StatefulSet,有状态集
DaemonSet,守护集
service,服务
Ingress,入口
ConfigMap,配置映射
Secret,密钥
namespace,命名空间
HPA,水平Pod自动扩展
liveness-probe,存活探针
readiness-probe,就绪探针
Jenkins,Jenkins
pipeline,流水线
build,构建
deploy,部署
release,发布
rollback,回滚
monitoring,监控
observability,可观测性
logging,日志
tracing,追踪
metrics,指标
alert,告警
dashboard,仪表板
Prometheus,Prometheus
Grafana,Grafana
ELK,ELK栈
Elasticsearch,Elasticsearch
Logstash,Logstash
Kibana,Kibana
APM,应用性能监控
distributed-tracing,分布式追踪
span,跨度
trace-id,追踪ID
correlation-id,关联ID
log-aggregation,日志聚合
testing,测试
unit-test,单元测试
integration-test,集成测试
end-to-end,端到端测试
E2E,端到端测试
acceptance-test,验收测试
regression-test,回归测试
smoke-test,冒烟测试
sanity-test,健全性测试
performance-test,性能测试
load-test,负载测试
stress-test,压力测试
mock,模拟
stub,存根
spy,间谍
fake,伪造
fixture,测试夹具
assertion,断言
test-coverage,测试覆盖率
code-coverage,代码覆盖率
TDD,测试驱动开发
BDD,行为驱动开发
ATDD,验收测试驱动开发
given-when-then,给定当则
arrange-act-assert,准备执行断言
red-green-refactor,红绿重构
happy-path,正常路径
edge-case,边界情况
corner-case,极端情况
flaky,不稳定测试
security,安全
authentication,认证
authorization,授权
OAuth,OAuth
OAuth2,OAuth 2.0
OpenID,OpenID
SSO,单点登录
JWT,JWT令牌
token,令牌
access-token,访问令牌
refresh-token,刷新令牌
RBAC,基于角色访问控制
ABAC,基于属性访问控制
CSRF,跨站请求伪造
XSS,跨站脚本攻击
SQL-injection,SQL注入
encryption,加密
decryption,解密
hashing,哈希
salting,加盐
certificate,证书
public-key,公钥
private-key,私钥
symmetric,对称加密
asymmetric,非对称加密
AES,AES加密
RSA,RSA算法
SHA,SHA哈希
MD5,MD5哈希
HTTPS,HTTPS协议
TLS,传输层安全
SSL,安全套接字层
whitelist,白名单
blacklist,黑名单
penetration-testing,渗透测试
vulnerability,漏洞
zero-trust,零信任
agile,敏捷
scrum,Scrum
sprint,冲刺
kanban,看板
standup,站会
retrospective,回顾会议
backlog,待办事项
user-story,用户故事
epic,史诗
velocity,速度
code-review,代码审查
pull-request,拉取请求
merge-request,合并请求
pair-programming,结对编程
technical-debt,技术债务
refactoring,重构
clean-code,整洁代码
code-smell,代码异味
version-control,版本控制
git,Git
git-flow,Git工作流
branch,分支
feature-branch,功能分支
release-branch,发布分支
hotfix,热修复
merge,合并
rebase,变基
cherry-pick,精选
semantic-versioning,语义化版本
breaking-change,破坏性变更
deprecation,弃用
documentation,文档
API-documentation,API文档
